0, 1.62
1, 1.62
1, 1.70
2, 1.72
2, 1.72
3, 1.78
3, 1.80
4, 1.78
4, 1.85
5, 1.85
5, 1.83
5, 1.86
6, 1.87
6, 1.84
7, 1.85
7, 1.87
8, 1.84
8, 1.79
9, 1.82
9, 1.79
10, 1.74
10, 1.75
11, 1.70
11, 1.65
12, 1.66
12, 1.60
13, 1.55
13, 1.57
14, 1.52
14, 1.52
15, 1.54
15, 1.52
16, 1.57
17, 1.61
17, 1.59
18, 1.66
18, 1.70
19, 1.69
19, 1.77
20, 1.77
20, 1.76
21, 1.82
21, 1.81
22, 1.80
22, 1.85
23, 1.81
23, 1.83
24, 1.83
24, 1.80
25, 1.76
25, 1.77
26, 1.72
26, 1.70
27, 1.70
27, 1.64
28, 1.62
28, 1.60
29, 1.54
29, 1.52
30, 1.51
31, 1.48
31, 1.52
32, 1.52
32, 1.52
33, 1.59
33, 1.58
34, 1.61
34, 1.68
35, 1.66
35, 1.71
36, 1.75
36, 1.74
37, 1.79
37, 1.80
38, 1.80
38, 1.82
39, 1.82
39, 1.80
40, 1.83
40, 1.80
41, 1.76
41, 1.77
43, 1.74
43, 1.69
44, 1.71
45, 1.66
45, 1.61
46, 1.60
46, 1.54
47, 1.50
47, 1.52
48, 1.47
48, 1.49
49, 1.51
49, 1.51
50, 1.52
50, 1.58
51, 1.56
51, 1.62
52, 1.67
52, 1.66
53, 1.71
53, 1.74
54, 1.73
54, 1.78
55, 1.77
55, 1.76
56, 1.81
56, 1.77
57, 1.78
57, 1.78
58, 1.74
59, 1.73
59, 1.74
60, 1.67
60, 1.67
61, 1.65
61, 1.58
62, 1.59
62, 1.55
63, 1.50
63, 1.47
64, 1.48
64, 1.43
65, 1.45
65, 1.49
66, 1.50
66, 1.55
67, 1.56
67, 1.55
68, 1.65
68, 1.65
69, 1.67
69, 1.74
70, 1.72
70, 1.74
71, 1.77
71, 1.76
72, 1.77
73, 1.79
73, 1.76
74, 1.78
74, 1.77
75, 1.72
75, 1.75
76, 1.71
76, 1.66
77, 1.65
77, 1.60
78, 1.56
78, 1.57
79, 1.49
79, 1.47
80, 1.47
80, 1.43
81, 1.44
81, 1.47
82, 1.47
82, 1.50
83, 1.56
83, 1.55
84, 1.58
84, 1.64
86, 1.64
86, 1.69
87, 1.71
88, 1.69
88, 1.74
89, 1.75
89, 1.73
90, 1.76
90, 1.75
91, 1.73
91, 1.75
92, 1.71
92, 1.69
93, 1.70
93, 1.65
94, 1.62
94, 1.60
95, 1.53
95, 1.53
96, 1.51
96, 1.45
97, 1.43
97, 1.42
98, 1.38
98, 1.41
99, 1.44
99, 1.43
100, 1.52
101, 1.53
101, 1.52
102, 1.63
102, 1.61
103, 1.66
103, 1.68
104, 1.68
105, 1.73
105, 1.71
106, 1.72
106, 1.73
107, 1.72
107, 1.73
108, 1.70
109, 1.67
109, 1.69
110, 1.61
110, 1.60
111, 1.56
111, 1.52
112, 1.52
113, 1.44
113, 1.41
114, 1.41
114, 1.38
115, 1.43
115, 1.43
116, 1.46
117, 1.52
117, 1.52
118, 1.58
118, 1.62
119, 1.61
119, 1.66
120, 1.67
121, 1.67
121, 1.72
122, 1.69
122, 1.71
123, 1.70
123, 1.69
124, 1.71
125, 1.66
125, 1.65
126, 1.64
126, 1.56
128, 1.56
128, 1.51
129, 1.49
130, 1.45
130, 1.38
131, 1.41
131, 1.37
132, 1.36
132, 1.41
133, 1.40
134, 1.46
134, 1.50
135, 1.50
135, 1.58
136, 1.59
136, 1.61
137, 1.65
138, 1.65
138, 1.69
139, 1.68
139, 1.68
140, 1.70
140, 1.68
141, 1.67
142, 1.66
142, 1.62
143, 1.63
143, 1.58
144, 1.55
144, 1.54
145, 1.50
146, 1.45
146, 1.42
147, 1.37
147, 1.39
148, 1.35
148, 1.37
149, 1.42
150, 1.41
150, 1.47
151, 1.48
151, 1.52
152, 1.58
152, 1.58
153, 1.63
154, 1.65
154, 1.64
155, 1.69
155, 1.67
156, 1.67
156, 1.68
157, 1.65
158, 1.67
158, 1.63
159, 1.59
159, 1.60
160, 1.54
160, 1.52
161, 1.50
162, 1.45
162, 1.42
163, 1.37
163, 1.35
164, 1.35
164, 1.32
165, 1.37
166, 1.37
166, 1.41
167, 1.48
167, 1.45
168, 1.53
168, 1.55
169, 1.58
171, 1.62
171, 1.62
172, 1.64
172, 1.67
173, 1.62
173, 1.65
174, 1.66
175, 1.61
175, 1.63
176, 1.58
176, 1.55
177, 1.56
177, 1.50
178, 1.48
179, 1.47
179, 1.41
180, 1.39
180, 1.32
181, 1.34
181, 1.33
182, 1.32
183, 1.38
183, 1.37
184, 1.44
184, 1.46
185, 1.49
185, 1.57
186, 1.55
187, 1.58
187, 1.62
188, 1.61
188, 1.65
189, 1.63
189, 1.64
190, 1.66
191, 1.62
191, 1.63
192, 1.61
192, 1.56
193, 1.56
193, 1.52
194, 1.48
195, 1.47
195, 1.41
196, 1.37
196, 1.34
197, 1.30
197, 1.33
198, 1.30
199, 1.31
199, 1.38
200, 1.36
200, 1.44
201, 1.45
201, 1.46
202, 1.53
203, 1.54
203, 1.57
204, 1.58
204, 1.60
205, 1.63
205, 1.59
206, 1.62
207, 1.62
207, 1.57
208, 1.58
208, 1.56
209, 1.52
209, 1.52
210, 1.46
211, 1.44
211, 1.43
212, 1.35
212, 1.35
214, 1.29
214, 1.29
215, 1.33
216, 1.29
216, 1.34
217, 1.35
217, 1.37
218, 1.44
218, 1.44
219, 1.51
220, 1.51
220, 1.54
221, 1.59
221, 1.58
222, 1.61
